sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),actual_class,predicted_class
,,,,Iris-virginica,Iris-virginica
,,,,Iris-versicolor,Iris-versicolor
,,,,Iris-versicolor,Iris-versicolor
,,,,Iris-setosa,Iris-setosa
,,,,Iris-virginica,Iris-virginica
,,,,Iris-virginica,Iris-virginica
,,,,Iris-versicolor,Iris-versicolor
,,,,Iris-virginica,Iris-virginica
,,,,Iris-virginica,Iris-virginica
,,,,Iris-versicolor,Iris-versicolor
,,,,Iris-virginica,Iris-virginica
,,,,Iris-setosa,Iris-setosa
,,,,Iris-setosa,Iris-setosa
,,,,Iris-versicolor,Iris-versicolor
,,,,Iris-versicolor,Iris-versicolor
,,,,Iris-versicolor,Iris-versicolor
,,,,Iris-setosa,Iris-setosa
,,,,Iris-virginica,Iris-virginica
,,,,Iris-versicolor,Iris-versicolor
,,,,Iris-versicolor,Iris-virginica
,,,,Iris-virginica,Iris-virginica
,,,,Iris-setosa,Iris-setosa
,,,,Iris-virginica,Iris-virginica
,,,,Iris-setosa,Iris-setosa
,,,,Iris-versicolor,Iris-versicolor
,,,,Iris-versicolor,Iris-versicolor
,,,,Iris-virginica,Iris-virginica
,,,,Iris-virginica,Iris-virginica
,,,,Iris-setosa,Iris-setosa
,,,,Iris-setosa,Iris-setosa
,,,,Iris-versicolor,Iris-versicolor
,,,,Iris-setosa,Iris-setosa
,,,,Iris-versicolor,Iris-virginica
,,,,Iris-virginica,Iris-virginica
,,,,Iris-setosa,Iris-setosa
,,,,Iris-setosa,Iris-setosa
,,,,Iris-versicolor,Iris-versicolor
,,,,Iris-virginica,Iris-virginica
